review_score,review_content,id_review,polarity
5.0,"Quel film, après plusieurs visionnage toujours la même claque. Clint Eastwood ressort le meilleur de ses films et de son jeu d'acteur, un personnage froid et attachant, une histoire et un scénario prenant et des émotions fortes ! Si vous ne l'avez jamais vu vous avez raté un chef d'œuvre, n'hesitez pas !",43376,1
5.0,Un véritable chef d'œuvres du cinéma mêlant toute les émotions possibles ! Rien à redire mis à part : merci Clint !,43375,1
5.0,"Ce film est complètement immersif et plein d’émotions, on est vraiment au cœur de la course. Les plans sont juste sublimes ! Ça fait longtemps que je n’ai pas autant aimé un film!",43374,1
5.0,"Ce film c'est la vie, ceux qui n'aime pas ce film, n'aime pas la vie. Juste chef-d'oeuvre comme on en voit rarement.",43373,1
5.0,"Ce film ayant un scénario assez vague à première vue m'au un peu repoussé, mais au vu des commentaires et critiques, je ne pouvais pas passer à coté. Ce film montre d'une part l'horreur que peuvent procurer le fait d'avoir tué, de tuer et de vouloir tuer. Ces gangs qui rackettent, frappent, volent juste pour la beauté de la célébrité ne sont qu'ici des gangs qui ne cherchent que la violence et la vengeance. Jusque là, le scénario du film tourne très bien, avec l'alternance de l'amitié Walt-Thao et le cousin de Thao. Le film montre une véritable leçon de cinéma qu'à partir de la scène où le pasteur discute avec Walt, en essayant de l e dissuader de se venger des coups de feu du gang Hmong . Commence dès lors 15 minutes de pure beauté cinématographique : les plans de Walt résonnant Thao prennent aux tripes, Walt se confessant. Ces 15 dernières minutes se terminent par une scène d'une intensité indescriptible, où Walt part rendre son compte au gang . S'en suit alors par l'avant dernière scène qui nous fait comprendre qu'il il y avait deux voies pour Walt tuer ou mourir en héro. J'ai fini ce film boulversé, en pleurant même, devant ce chef-d'oeuvre que je n'oublierai jamais. R.I.P Walt Kowaltski .",43372,1
5.0,Le meilleur film que j'ai jamais vue.... Un chef-d'œuvre !Un thriller émouvant Un film un film un film,43371,1
5.0,"Waouh, ça c'est du cinéma!!Film à voir et à revoir!!",43370,0
5.0,Un chef-d'oeuvre de ce bon vieu Clint Eastwood....,43369,1
5.0,"Il est special mais perso j'adore, ses mon film preferer.",43368,1
5.0,"A prendre au moins au second degré pour l'apprécier. Pas fan du Clint du grand ouest, je savoure l'humour et l'humanisme de M.Eastwood, ses messages de vieux sages distillés sous forme de grimaces de vieux singe... qui peut toujours apprendre des autres. Une belle allégorie, cette gran torino. Et aussi... quel texte de générique ! Et à l'adresse de certains critiques acides : comme dirait ce bon vieux Walt: "".ordel de .erde, au moins relisez-vous pour corriger vos fautes, ça gâche la lecture...(voir la charte)",43367,1
5.0,"Super film !""0 étoile"", ces personnes ont peu de réflexion, le film est fait pour plaire à tout le monde pas seulement a vous ...",43366,1
5.0,"Superbe film que ce Gran Torino ! J'me suis inscrit juste pour le chroniquer c'est pour vous dire ^^ Clint Eastwood campe ici le personnage d'un vieil homme subtil et très attachant, dont la psychologie évolue tout au long du film après avoir pourtant ""stagné"" pendant bon nombre d'années. Les dialogues sont vraiment géniaux, on se plaît à suivre les rixes verbales qui opposent chacun des personnages du film, qu'ils soient asiatiques ou blancs, irlandais ou black. Chacun d'entre eux a une réelle importance, chaque object a une symbolique particulière et rien n'est laissé au hasard dans la construction du scénario. Des scènes vraiment géniales aussi, je pense de suite à celle où il emmène Tao ""Toto"" chez le coiffeur .. Classique ! Vraiment un des meilleurs Eastwood qu'il m'ait été donné de voir, donc si vous hésitez : arrêtez de suite et mettez play !",43365,1
5.0,"il est absolument GENIAL... à voir absolument; il est aussi bien que bienvenue chez les chti's, à sa manière... c'est le meilleur film de son genre que j'ai vu depuis deux ou trois ans...",43364,1
5.0,"Au travers de ce personnage atypique (ou est-ce que ce ne sont les autres qui déconnent complétement?), ce film ne fait pas de concession envers la société américaine.La maison et le bonhomme représente un ilo de ""valeurs"" au milieu du chaos des bandes et des ghettos américains. Mais aussi au sein de sa famille (ses enfants) avec laquelle il ne s'entend pas.Une des rares personne à résister à l'argent ""facile"" ou à l'argent ""roi"" rencontre des personnes qui donne tout de suite plus d'importance à ses qualités humaines que ses propres enfants obnubilés par le fric.Un excellent film.",43363,1
5.0,"Tres bon film, una pelicula excelente; además de que Clint Eastwood es demasiado buen actor; me había gustado mucho los puentes de madison, pero con esta si que me dejó muy contento.... felicidades.",43362,1
5.0,Rine à dire à part que je ne pensais pas autant rire et pleurer à la fois!!! Film à voir vraiment!,43361,1
5.0,"Ce film est exellent, avec un Clint Eastwood sensationelle :o pour ceux qui n'ont toujours pas vu ce film, allez le voir sans aucune hésitation, vous ne le regretterez pas.",43360,1
5.0,"Un très beau film, très émouvant. Le scénario est simple, rien n'est caché, tout est dit, mais pourtant fonctionne très bien. Alors pourquoi ?Je ne crois pas que ce film traite de l'Amérique, ni du racisme, ni de la religion, ni de la rédemption. Tous ces thèmes sont présents, portés par le personnage de Walt, mais ce sont les éléments du décors. Ce n'est pas un thème qui crée l'émotion. C'est l'humain. C'est ce que Walt réussit à transmettre à Tao qui nous touche, parce qu'il lui permet de se trouver, le protège de sa soif de vengeance jusqu'au sacrifice ; parce qu'il lui transmet les clés pour vivre. On est pris au piège une première fois, à la place de Tao et sa soeur, comme un enfant reconnaissant pour ses parents. Et une deuxième fois à la place de Walt parce qu'il réussit à surmonter son traumatisme, ses préjugés et transmet à Tao ce qu'il n'a pas pu transmettre à ses fils. Peu importe du coup que le scénario soit annoncé, c'est secondaire. On est ému et on en redemande.",43359,1
